frame,tl.x,tl.y,br.x,br.y
2835,1609,2855,1633,8
2795,1510,2834,1548,8
2955,1499,2980,1536,8
2730,1435,2775,1465,8
2310,1386,2339,1410,8
1519,1370,1538,1387,8
1601,1297,1626,1318,8
1528,1283,1555,1309,8
2965,1278,2992,1301,8
1415,1244,1457,1273,8
2889,1171,2935,1231,8
1431,670,1447,684,8
2834,1609,2855,1633,9
2795,1511,2837,1549,9
2953,1499,2981,1536,9
2733,1435,2778,1465,9
2320,1389,2338,1410,9
1601,1297,1626,1318,9
2967,1281,2994,1305,9
1530,1280,1557,1311,9
1415,1244,1453,1273,9
2892,1171,2938,1231,9
2834,1612,2854,1634,10
2799,1513,2838,1550,10
2955,1499,2982,1537,10
2738,1436,2779,1466,10
2307,1384,2337,1409,10
1519,1370,1541,1387,10
1605,1297,1626,1316,10
1531,1281,1557,1311,10
2968,1280,2996,1307,10
1415,1245,1448,1272,10
2892,1173,2940,1231,10
1430,670,1447,706,10
2836,1612,2854,1631,11
2800,1514,2839,1550,11
2955,1499,2983,1538,11
2745,1436,2781,1469,11
2305,1383,2337,1407,11
1519,1370,1544,1389,11
1607,1297,1626,1316,11
2968,1280,2998,1308,11
1533,1279,1557,1311,11
1415,1258,1438,1272,11
1434,1245,1450,1260,11
2896,1185,2942,1231,11
1430,668,1453,700,11
2801,1514,2843,1554,12
2956,1504,2983,1539,12
2746,1437,2783,1469,12
2305,1383,2336,1402,12
1607,1297,1626,1316,12
2972,1285,2999,1311,12
1535,1280,1557,1311,12
1415,1244,1450,1271,12
2920,1210,2943,1231,12
2898,1186,2925,1213,12
1428,668,1453,704,12
2835,1615,2849,1636,13
2803,1514,2846,1554,13
2956,1507,2985,1540,13
2746,1443,2786,1473,13
2301,1382,2335,1402,13
1607,1297,1626,1315,13
2971,1286,2987,1301,13
1536,1280,1560,1311,13
1415,1245,1450,1269,13
2923,1210,2945,1231,13
2898,1187,2925,1213,13
1429,667,1455,702,13
2931,1827,2953,1846,14
2835,1615,2849,1636,14
2803,1514,2849,1556,14
2957,1512,2985,1541,14
2751,1446,2786,1474,14
2300,1381,2334,1403,14
1607,1297,1623,1312,14
2973,1286,2987,1301,14
1537,1279,1560,1311,14
1414,1248,1434,1265,14
1435,1245,1450,1261,14
2920,1209,2952,1240,14
2900,1189,2916,1213,14
1430,666,1456,701,14
2931,1827,2955,1849,15
2835,1614,2851,1637,15
2805,1517,2849,1556,15
2957,1514,2986,1543,15
2752,1447,2786,1474,15
2298,1377,2334,1403,15
2973,1286,2988,1301,15
